Vehicle_Category,Administrative_Region,Vehicle_Type,Max_Voltage_Battery_Pack_Index,Max_Voltage_Battery_Index,Max_Voltage_Value_V,Min_Voltage_Battery_Pack_Index,Min_Voltage_Battery_Index,Min_Voltage_Value_V,Total_Voltage_V,Max_Temperature_Battery_Pack_Index,Max_Temperature_Probe_Index,Max_Temperature_Value_DegreeC,Min_Temperature_Battery_Pack_Index,Min_Temperature_Probe_Index,Min_Temperature_Value_DegreeC,State_Of_Charge,Total_Current_A,Insulation_Resistance_MegaOhm,Remaining_Energy_kWh,Validity,Upload_Date,Upload_Time
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,5,3.96,358.90,1,17,12,1,12,8,76.4,0.7,10000,23.3,Invalid,2015-04-02,073141
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,5,3.96,359.00,1,16,11,1,1,8,76.4,0.7,10000,23.3,Invalid,2015-04-02,073151
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,5,3.96,359.00,1,17,12,1,12,8,76.4,0.6,10000,23.3,Invalid,2015-04-02,073201
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,3,3.96,358.90,1,16,11,1,12,8,76.4,1.1,10000,23.3,Invalid,2015-04-02,073211
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,4,3.96,358.30,1,17,12,1,12,8,76.4,11.2,10000,23.3,Invalid,2015-04-02,073221
Electric_Taxi,Tongzhou_District,200,1,21,3.98,1,1,3.96,358.20,1,16,11,1,1,8,76.4,10.7,10000,23.3,Invalid,2015-04-02,073231
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,5,3.92,356.10,1,18,12,1,1,8,76.4,36.6,10000,23.3,Invalid,2015-04-02,073241
Electric_Taxi,Tongzhou_District,200,1,60,4.0,1,10,3.96,359.10,1,18,12,1,12,8,76.4,-12.1,10000,23.3,Invalid,2015-04-02,073251
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,12,3.9,356.30,1,17,12,1,12,8,76.4,32.2,10000,23.3,Invalid,2015-04-02,073301
Electric_Taxi,Tongzhou_District,200,1,12,3.96,1,8,3.92,356.00,1,17,12,1,12,8,76.4,30.6,10000,23.3,Invalid,2015-04-02,073311
Electric_Taxi,Tongzhou_District,200,1,1,3.98,1,10,3.96,358.90,1,16,11,1,1,8,76.4,-9.7,10000,23.3,Invalid,2015-04-02,073321
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,8,3.92,355.50,1,16,11,1,1,8,76.4,42.4,10000,23.3,Invalid,2015-04-02,073331
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,12,3.92,357.80,1,18,12,1,12,8,76,-2.4,10000,23.1,Invalid,2015-04-02,073341
Electric_Taxi,Tongzhou_District,200,1,12,3.96,1,1,3.94,356.40,1,16,11,1,12,8,76,24.3,10000,23.1,Invalid,2015-04-02,073351
Electric_Taxi,Tongzhou_District,200,1,13,3.96,1,1,3.94,357.10,1,16,11,1,1,8,76,10.7,10000,23.1,Invalid,2015-04-02,073401
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,12,3.9,357.30,1,18,12,1,12,8,76,2.8,10000,23.1,Invalid,2015-04-02,073411
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.80,1,16,11,1,12,8,76,1.7,10000,23.1,Invalid,2015-04-02,073421
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.90,1,16,11,1,12,8,76,0.8,10000,23.1,Invalid,2015-04-02,073431
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,4,3.94,356.80,1,18,12,1,1,8,76,18.2,10000,23.1,Invalid,2015-04-02,073441
Electric_Taxi,Tongzhou_District,200,1,12,3.94,1,1,3.92,357.10,1,16,11,1,12,8,76,3.1,10000,23.1,Invalid,2015-04-02,073451
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.90,1,17,12,1,12,8,76,-1.5,10000,23.1,Invalid,2015-04-02,073511
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.80,1,16,11,1,1,8,76,1.2,10000,23.1,Invalid,2015-04-02,073521
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,356.50,1,17,12,1,12,8,76,20.6,10000,23.1,Invalid,2015-04-02,073531
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,10,3.94,357.90,1,16,11,1,1,8,76,-3.4,10000,23.1,Invalid,2015-04-02,073541
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,5,3.94,357.30,1,17,12,1,12,8,76,7.7,10000,23.1,Invalid,2015-04-02,073551
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.80,1,18,12,1,1,8,76,0.8,10000,23.1,Invalid,2015-04-02,073601
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.80,1,17,12,1,12,8,76,0.8,10000,23.1,Invalid,2015-04-02,073611
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.90,1,17,12,1,12,8,76,0.8,10000,23.1,Invalid,2015-04-02,073621
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.90,1,16,11,1,12,8,76,0.7,10000,23.1,Invalid,2015-04-02,073631
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,357.90,1,16,11,1,1,8,76,0.7,10000,23.1,Invalid,2015-04-02,073641
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,16,11,1,1,8,76,0.8,10000,23.1,Invalid,2015-04-02,073651
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,16,12,1,12,8,76,0.7,10000,23.1,Invalid,2015-04-02,073701
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,17,12,1,12,8,76,0.7,10000,23.1,Invalid,2015-04-02,073711
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,16,11,1,12,8,76,0.8,10000,23.1,Invalid,2015-04-02,073721
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,16,11,1,1,8,76,0.7,10000,23.1,Invalid,2015-04-02,073731
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,358.00,1,16,11,1,1,8,76,0.7,10000,23.1,Invalid,2015-04-02,073741
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,1,3.96,356.90,1,16,11,1,1,8,75.6,19.1,10000,23,Invalid,2015-04-02,073751
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,8,3.94,357.80,1,16,11,1,12,8,75.6,0.6,10000,23,Invalid,2015-04-02,073801
Electric_Taxi,Tongzhou_District,200,1,60,3.96,1,40,3.92,355.60,1,17,12,1,12,8,75.6,34.4,10000,23,Invalid,2015-04-02,073811
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,2,3.94,356.00,1,18,12,1,12,8,75.6,20.5,10000,23,Invalid,2015-04-02,073821
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,3,3.94,357.30,1,16,11,1,1,8,75.6,1.4,10000,23,Invalid,2015-04-02,073831
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,8,3.92,355.90,1,16,11,1,1,8,75.6,22.7,10000,23,Invalid,2015-04-02,073841
Electric_Taxi,Tongzhou_District,200,1,13,3.94,1,1,3.92,355.20,1,16,11,1,12,8,75.6,31.8,10000,23,Invalid,2015-04-02,073851
Electric_Taxi,Tongzhou_District,200,1,12,3.94,1,1,3.92,355.20,1,17,12,1,12,8,75.6,27.8,10000,23,Invalid,2015-04-02,073901
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,4,3.94,356.80,1,18,12,1,12,8,75.2,0.8,10000,22.9,Invalid,2015-04-02,073911
Electric_Taxi,Tongzhou_District,200,1,13,3.94,1,1,3.92,355.30,1,16,11,1,1,8,75.2,23.4,10000,22.9,Invalid,2015-04-02,073921
Electric_Taxi,Tongzhou_District,200,1,1,3.92,1,1,3.92,354.50,1,16,11,1,1,8,75.2,34.4,10000,22.9,Invalid,2015-04-02,073931
Electric_Taxi,Tongzhou_District,200,1,12,3.98,1,1,3.96,359.60,1,16,11,1,1,8,75.2,-48.7,10000,22.9,Invalid,2015-04-02,073941
Electric_Taxi,Tongzhou_District,200,1,1,3.94,1,1,3.94,357.00,1,16,11,1,1,8,75.2,0.6,10000,22.9,Invalid,2015-04-02,073951
Electric_Taxi,Tongzhou_District,200,1,27,3.96,1,1,3.94,357.00,1,16,11,1,1,8,75.2,1.1,10000,22.9,Invalid,2015-04-02,074001
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,2,3.94,357.10,1,17,12,1,12,8,75.2,0.6,10000,22.9,Invalid,2015-04-02,074011
Electric_Taxi,Tongzhou_District,200,1,11,3.96,1,1,3.94,357.20,1,16,11,1,1,8,75.2,0.6,10000,22.9,Invalid,2015-04-02,074021
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,2,3.94,357.20,1,16,11,1,1,8,75.2,0.7,10000,22.9,Invalid,2015-04-02,074031
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,3,3.94,357.30,1,17,12,1,12,8,75.2,0.7,10000,22.9,Invalid,2015-04-02,074041
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,5,3.94,357.30,1,16,11,1,1,8,75.2,0.7,10000,22.9,Invalid,2015-04-02,074051
Electric_Taxi,Tongzhou_District,200,1,1,3.96,1,3,3.94,357.30,1,16,11,1,1,8,75.2,0.6,10000,22.9,Invalid,2015-04-02,074101
Electric_Taxi,Tongzhou_District,200,1,60,3.92,1,40,3.84,351.90,1,17,12,1,12,8,75.2,80.1,10000,22.9,Invalid,2015-04-02,074111
